fecha,categoria,segmento,is_weekend,month,promo_active,units_sold,revenue
2023-01-03,Mujer,Mujer,0,1,0,1,19.19
2023-01-03,Mujer,Hombre,0,1,0,2,46.98
2023-01-03,Mujer,Niños,0,1,0,3,150.28
2023-01-03,Mujer,Unisex,0,1,0,1,22.27
2023-01-03,Hombre,Mujer,0,1,0,1,44.86
2023-01-03,Hombre,Hombre,0,1,0,2,79.39
2023-01-03,Hombre,Niños,0,1,0,2,74.45
2023-01-03,Hombre,Unisex,0,1,0,2,94.88
2023-01-03,Niños,Mujer,0,1,0,3,77.94
2023-01-03,Niños,Hombre,0,1,0,4,220.57
2023-01-03,Niños,Niños,0,1,0,3,111.49
2023-01-03,Niños,Unisex,0,1,0,2,81.48
2023-01-03,Accesorios,Mujer,0,1,0,1,31.66
2023-01-03,Accesorios,Hombre,0,1,0,2,68.54
2023-01-03,Accesorios,Niños,0,1,0,1,23.59
2023-01-03,Accesorios,Unisex,0,1,0,3,120.17
2023-01-03,Calzado,Mujer,0,1,0,4,85.22
2023-01-03,Calzado,Hombre,0,1,0,2,96.67
2023-01-03,Calzado,Niños,0,1,0,3,154.26
2023-01-03,Calzado,Unisex,0,1,0,2,37.34
2023-01-04,Mujer,Mujer,0,1,0,1,50.81
2023-01-04,Mujer,Hombre,0,1,0,3,95.7
2023-01-04,Mujer,Niños,0,1,0,1,39.42
2023-01-04,Mujer,Unisex,0,1,0,2,52.52
2023-01-04,Hombre,Mujer,0,1,0,2,104.51
2023-01-04,Hombre,Hombre,0,1,0,4,75.36
2023-01-04,Hombre,Niños,0,1,0,2,117.26
2023-01-04,Hombre,Unisex,0,1,0,2,65.89
2023-01-04,Niños,Mujer,0,1,0,1,56.18
2023-01-04,Niños,Hombre,0,1,0,3,141.47
2023-01-04,Niños,Niños,0,1,0,4,138.42
2023-01-04,Niños,Unisex,0,1,0,3,93.06
2023-01-04,Accesorios,Mujer,0,1,0,3,50.5
2023-01-04,Accesorios,Hombre,0,1,0,1,49.35
2023-01-04,Accesorios,Niños,0,1,0,3,51.49
2023-01-04,Accesorios,Unisex,0,1,0,2,31.38
2023-01-04,Calzado,Mujer,0,1,0,3,172.47
2023-01-04,Calzado,Hombre,0,1,0,3,153.13
2023-01-04,Calzado,Niños,0,1,0,2,103.86
2023-01-04,Calzado,Unisex,0,1,0,1,44.32
2023-01-05,Mujer,Mujer,0,1,0,2,106.04
2023-01-05,Mujer,Hombre,0,1,0,3,83.05
2023-01-05,Mujer,Niños,0,1,0,0,0.0
2023-01-05,Mujer,Unisex,0,1,0,2,81.17
2023-01-05,Hombre,Mujer,0,1,0,3,123.37
2023-01-05,Hombre,Hombre,0,1,0,1,25.74
2023-01-05,Hombre,Niños,0,1,0,0,0.0
2023-01-05,Hombre,Unisex,0,1,0,3,58.5
2023-01-05,Niños,Mujer,0,1,1,4,148.74
2023-01-05,Niños,Hombre,0,1,0,2,84.22
2023-01-05,Niños,Niños,0,1,0,1,56.89
2023-01-05,Niños,Unisex,0,1,0,3,104.61
2023-01-05,Accesorios,Mujer,0,1,0,1,19.55
2023-01-05,Accesorios,Hombre,0,1,0,1,32.85
2023-01-05,Accesorios,Niños,0,1,0,3,167.54
2023-01-05,Accesorios,Unisex,0,1,0,3,140.6
2023-01-05,Calzado,Mujer,0,1,0,1,29.86
2023-01-05,Calzado,Hombre,0,1,0,1,36.09
2023-01-05,Calzado,Niños,0,1,0,1,45.65
2023-01-05,Calzado,Unisex,0,1,0,3,109.49
2023-01-06,Mujer,Mujer,0,1,0,1,26.38
2023-01-06,Mujer,Hombre,0,1,0,2,44.96
2023-01-06,Mujer,Niños,0,1,0,3,82.93
2023-01-06,Mujer,Unisex,0,1,1,3,106.51
2023-01-06,Hombre,Mujer,0,1,0,2,50.65
2023-01-06,Hombre,Hombre,0,1,1,1,26.7
2023-01-06,Hombre,Niños,0,1,0,1,45.81
2023-01-06,Hombre,Unisex,0,1,0,3,156.04
2023-01-06,Niños,Mujer,0,1,0,2,113.95
2023-01-06,Niños,Hombre,0,1,0,2,99.98
2023-01-06,Niños,Niños,0,1,0,3,98.05
2023-01-06,Niños,Unisex,0,1,0,1,36.09
2023-01-06,Accesorios,Mujer,0,1,0,2,119.7
2023-01-06,Accesorios,Hombre,0,1,0,1,49.07
2023-01-06,Accesorios,Niños,0,1,0,2,54.73
2023-01-06,Accesorios,Unisex,0,1,0,0,0.0
2023-01-06,Calzado,Mujer,0,1,0,3,109.29
2023-01-06,Calzado,Hombre,0,1,0,0,0.0
2023-01-06,Calzado,Niños,0,1,1,2,32.59
2023-01-06,Calzado,Unisex,0,1,0,2,93.37
2023-01-07,Mujer,Mujer,1,1,0,5,95.48
2023-01-07,Mujer,Hombre,1,1,0,4,141.16
2023-01-07,Mujer,Niños,1,1,0,1,50.84
2023-01-07,Mujer,Unisex,1,1,0,2,99.2
2023-01-07,Hombre,Mujer,1,1,0,1,24.41
2023-01-07,Hombre,Hombre,1,1,0,5,195.88
2023-01-07,Hombre,Niños,1,1,0,1,55.36
2023-01-07,Hombre,Unisex,1,1,0,1,42.09
2023-01-07,Niños,Mujer,1,1,0,2,37.98
2023-01-07,Niños,Hombre,1,1,0,1,55.24
2023-01-07,Niños,Niños,1,1,0,3,129.77
2023-01-07,Niños,Unisex,1,1,0,2,30.23
2023-01-07,Accesorios,Mujer,1,1,0,4,156.59
2023-01-07,Accesorios,Hombre,1,1,0,4,155.63
2023-01-07,Accesorios,Niños,1,1,0,1,48.73
2023-01-07,Accesorios,Unisex,1,1,0,4,155.87
2023-01-07,Calzado,Mujer,1,1,0,3,88.48
2023-01-07,Calzado,Hombre,1,1,1,6,122.34
2023-01-07,Calzado,Niños,1,1,0,1,37.43
2023-01-07,Calzado,Unisex,1,1,0,4,160.39
2023-01-08,Mujer,Mujer,1,1,0,4,221.94
2023-01-08,Mujer,Hombre,1,1,0,5,296.97
2023-01-08,Mujer,Niños,1,1,0,4,93.58
2023-01-08,Mujer,Unisex,1,1,0,4,211.62
2023-01-08,Hombre,Mujer,1,1,0,2,110.69
2023-01-08,Hombre,Hombre,1,1,0,3,155.3
2023-01-08,Hombre,Niños,1,1,0,4,156.31
2023-01-08,Hombre,Unisex,1,1,0,2,46.83
2023-01-08,Niños,Mujer,1,1,0,2,93.65
2023-01-08,Niños,Hombre,1,1,0,1,37.77
2023-01-08,Niños,Niños,1,1,0,3,119.06
2023-01-08,Niños,Unisex,1,1,0,1,45.81
2023-01-08,Accesorios,Mujer,1,1,0,4,145.17
2023-01-08,Accesorios,Hombre,1,1,0,4,79.21
2023-01-08,Accesorios,Niños,1,1,0,2,35.98
2023-01-08,Accesorios,Unisex,1,1,0,3,63.87
2023-01-08,Calzado,Mujer,1,1,0,3,154.97
2023-01-08,Calzado,Hombre,1,1,0,1,54.47
2023-01-08,Calzado,Niños,1,1,0,4,172.34
2023-01-08,Calzado,Unisex,1,1,0,4,163.95
2023-01-09,Mujer,Mujer,0,1,0,3,118.28
2023-01-09,Mujer,Hombre,0,1,0,2,95.75
2023-01-09,Mujer,Niños,0,1,0,3,165.68
2023-01-09,Mujer,Unisex,0,1,0,2,58.05
2023-01-09,Hombre,Mujer,0,1,0,2,98.62
2023-01-09,Hombre,Hombre,0,1,0,1,39.14
2023-01-09,Hombre,Niños,0,1,0,2,73.77
2023-01-09,Hombre,Unisex,0,1,0,2,31.1
2023-01-09,Niños,Mujer,0,1,0,3,174.48
2023-01-09,Niños,Hombre,0,1,0,3,107.37
2023-01-09,Niños,Niños,0,1,0,2,53.04
2023-01-09,Niños,Unisex,0,1,0,2,113.02
2023-01-09,Accesorios,Mujer,0,1,0,0,0.0
2023-01-09,Accesorios,Hombre,0,1,0,1,56.65
2023-01-09,Accesorios,Niños,0,1,0,2,105.37
2023-01-09,Accesorios,Unisex,0,1,0,2,50.47
2023-01-09,Calzado,Mujer,0,1,0,1,15.21
2023-01-09,Calzado,Hombre,0,1,0,2,107.72
2023-01-09,Calzado,Niños,0,1,0,2,82.84
2023-01-09,Calzado,Unisex,0,1,0,3,68.81
2023-01-10,Mujer,Mujer,0,1,0,1,15.59
2023-01-10,Mujer,Hombre,0,1,0,1,58.25
2023-01-10,Mujer,Niños,0,1,0,2,65.76
2023-01-10,Mujer,Unisex,0,1,0,2,47.16
2023-01-10,Hombre,Mujer,0,1,0,2,99.8
2023-01-10,Hombre,Hombre,0,1,0,0,0.0
2023-01-10,Hombre,Niños,0,1,0,4,230.3
2023-01-10,Hombre,Unisex,0,1,0,3,131.94
2023-01-10,Niños,Mujer,0,1,1,2,66.72
2023-01-10,Niños,Hombre,0,1,0,2,75.5
2023-01-10,Niños,Niños,0,1,0,0,0.0
2023-01-10,Niños,Unisex,0,1,1,1,42.14
2023-01-10,Accesorios,Mujer,0,1,0,2,31.17
2023-01-10,Accesorios,Hombre,0,1,0,0,0.0
2023-01-10,Accesorios,Niños,0,1,0,3,129.34
2023-01-10,Accesorios,Unisex,0,1,0,1,31.34
2023-01-10,Calzado,Mujer,0,1,0,1,34.63
2023-01-10,Calzado,Hombre,0,1,0,3,148.09
2023-01-10,Calzado,Niños,0,1,0,3,152.98
2023-01-10,Calzado,Unisex,0,1,0,1,27.09
2023-01-11,Mujer,Mujer,0,1,0,3,157.72
2023-01-11,Mujer,Hombre,0,1,0,0,0.0
2023-01-11,Mujer,Niños,0,1,0,2,81.89
2023-01-11,Mujer,Unisex,0,1,1,3,132.94
2023-01-11,Hombre,Mujer,0,1,0,1,37.24
2023-01-11,Hombre,Hombre,0,1,0,2,66.39
2023-01-11,Hombre,Niños,0,1,0,2,52.08
2023-01-11,Hombre,Unisex,0,1,0,3,93.02
2023-01-11,Niños,Mujer,0,1,0,3,63.23
2023-01-11,Niños,Hombre,0,1,0,3,80.41
2023-01-11,Niños,Niños,0,1,0,3,59.39
2023-01-11,Niños,Unisex,0,1,0,0,0.0
2023-01-11,Accesorios,Mujer,0,1,0,3,152.92
2023-01-11,Accesorios,Hombre,0,1,0,3,124.68
2023-01-11,Accesorios,Niños,0,1,0,1,23.33
2023-01-11,Accesorios,Unisex,0,1,0,3,153.89
2023-01-11,Calzado,Mujer,0,1,0,2,74.05
2023-01-11,Calzado,Hombre,0,1,0,1,57.48
2023-01-11,Calzado,Niños,0,1,0,3,61.27
2023-01-11,Calzado,Unisex,0,1,0,1,33.98
2023-01-12,Mujer,Mujer,0,1,0,2,77.02
2023-01-12,Mujer,Hombre,0,1,1,5,157.06
2023-01-12,Mujer,Niños,0,1,0,3,142.84
2023-01-12,Mujer,Unisex,0,1,0,2,78.46
2023-01-12,Hombre,Mujer,0,1,0,2,108.9
2023-01-12,Hombre,Hombre,0,1,1,1,59.57
2023-01-12,Hombre,Niños,0,1,0,0,0.0
2023-01-12,Hombre,Unisex,0,1,0,3,98.77
2023-01-12,Niños,Mujer,0,1,0,3,45.45
2023-01-12,Niños,Hombre,0,1,0,3,160.13
2023-01-12,Niños,Niños,0,1,0,1,32.62
2023-01-12,Niños,Unisex,0,1,0,1,50.91
2023-01-12,Accesorios,Mujer,0,1,1,4,168.14
2023-01-12,Accesorios,Hombre,0,1,0,2,119.21
2023-01-12,Accesorios,Niños,0,1,0,0,0.0
2023-01-12,Accesorios,Unisex,0,1,0,3,49.96
2023-01-12,Calzado,Mujer,0,1,0,2,109.54
2023-01-12,Calzado,Hombre,0,1,0,2,45.65
2023-01-12,Calzado,Niños,0,1,0,4,206.85
2023-01-12,Calzado,Unisex,0,1,0,2,78.33
2023-01-13,Mujer,Mujer,0,1,0,2,54.57
2023-01-13,Mujer,Hombre,0,1,0,2,106.7
2023-01-13,Mujer,Niños,0,1,0,4,110.65
2023-01-13,Mujer,Unisex,0,1,1,4,190.22
2023-01-13,Hombre,Mujer,0,1,0,3,91.95
2023-01-13,Hombre,Hombre,0,1,0,1,27.02
2023-01-13,Hombre,Niños,0,1,0,2,108.06
2023-01-13,Hombre,Unisex,0,1,0,2,92.77
2023-01-13,Niños,Mujer,0,1,0,2,109.28
2023-01-13,Niños,Hombre,0,1,0,2,103.8
2023-01-13,Niños,Niños,0,1,0,2,55.83
2023-01-13,Niños,Unisex,0,1,0,1,20.21
2023-01-13,Accesorios,Mujer,0,1,0,3,83.25
2023-01-13,Accesorios,Hombre,0,1,0,1,30.38
2023-01-13,Accesorios,Niños,0,1,0,2,44.97
2023-01-13,Accesorios,Unisex,0,1,1,2,72.62
2023-01-13,Calzado,Mujer,0,1,0,1,32.26
2023-01-13,Calzado,Hombre,0,1,1,3,95.2
2023-01-13,Calzado,Niños,0,1,0,2,72.17
2023-01-13,Calzado,Unisex,0,1,0,0,0.0
2023-01-14,Mujer,Mujer,1,1,0,2,99.55
2023-01-14,Mujer,Hombre,1,1,0,4,216.25
2023-01-14,Mujer,Niños,1,1,1,6,262.4
2023-01-14,Mujer,Unisex,1,1,0,0,0.0
2023-01-14,Hombre,Mujer,1,1,0,2,32.8
2023-01-14,Hombre,Hombre,1,1,0,3,161.69
2023-01-14,Hombre,Niños,1,1,0,1,49.95
2023-01-14,Hombre,Unisex,1,1,0,2,98.49
2023-01-14,Niños,Mujer,1,1,0,1,42.75
2023-01-14,Niños,Hombre,1,1,0,2,83.85
2023-01-14,Niños,Niños,1,1,0,5,221.59
2023-01-14,Niños,Unisex,1,1,0,2,118.59
2023-01-14,Accesorios,Mujer,1,1,1,3,176.58
2023-01-14,Accesorios,Hombre,1,1,0,2,98.14
2023-01-14,Accesorios,Niños,1,1,0,3,77.68
2023-01-14,Accesorios,Unisex,1,1,1,4,171.27
2023-01-14,Calzado,Mujer,1,1,0,1,30.78
2023-01-14,Calzado,Hombre,1,1,0,3,98.58
2023-01-14,Calzado,Niños,1,1,0,2,48.01
2023-01-14,Calzado,Unisex,1,1,0,5,102.95
2023-01-15,Mujer,Mujer,1,1,0,1,46.91
2023-01-15,Mujer,Hombre,1,1,0,2,100.51
2023-01-15,Mujer,Niños,1,1,0,2,70.71
2023-01-15,Mujer,Unisex,1,1,1,2,69.47
2023-01-15,Hombre,Mujer,1,1,1,2,85.42
2023-01-15,Hombre,Hombre,1,1,0,1,23.2
2023-01-15,Hombre,Niños,1,1,0,4,119.82
2023-01-15,Hombre,Unisex,1,1,0,4,132.59
2023-01-15,Niños,Mujer,1,1,0,2,108.14
2023-01-15,Niños,Hombre,1,1,0,2,61.13
2023-01-15,Niños,Niños,1,1,0,6,246.24
2023-01-15,Niños,Unisex,1,1,1,5,184.5
2023-01-15,Accesorios,Mujer,1,1,0,2,83.31
2023-01-15,Accesorios,Hombre,1,1,0,2,86.84
2023-01-15,Accesorios,Niños,1,1,0,2,46.17
2023-01-15,Accesorios,Unisex,1,1,0,4,92.58
2023-01-15,Calzado,Mujer,1,1,1,0,0.0
2023-01-15,Calzado,Hombre,1,1,0,4,77.15
2023-01-15,Calzado,Niños,1,1,0,1,25.67
2023-01-15,Calzado,Unisex,1,1,0,5,174.46
2023-01-16,Mujer,Mujer,0,1,0,1,35.22
2023-01-16,Mujer,Hombre,0,1,0,0,0.0
2023-01-16,Mujer,Niños,0,1,0,1,50.18
2023-01-16,Mujer,Unisex,0,1,0,5,270.36
2023-01-16,Hombre,Mujer,0,1,0,3,50.31
2023-01-16,Hombre,Hombre,0,1,0,1,18.99
2023-01-16,Hombre,Niños,0,1,0,4,105.76
2023-01-16,Hombre,Unisex,0,1,0,3,63.85
2023-01-16,Niños,Mujer,0,1,0,3,70.43
2023-01-16,Niños,Hombre,0,1,0,1,54.07
2023-01-16,Niños,Niños,0,1,0,2,85.61
2023-01-16,Niños,Unisex,0,1,0,0,0.0
2023-01-16,Accesorios,Mujer,0,1,0,2,89.3
2023-01-16,Accesorios,Hombre,0,1,0,1,44.6
2023-01-16,Accesorios,Niños,0,1,0,2,96.46
2023-01-16,Accesorios,Unisex,0,1,0,1,29.72
2023-01-16,Calzado,Mujer,0,1,0,2,40.82
2023-01-16,Calzado,Hombre,0,1,1,2,86.72
2023-01-16,Calzado,Niños,0,1,0,0,0.0
2023-01-16,Calzado,Unisex,0,1,0,2,82.84
2023-01-17,Mujer,Mujer,0,1,0,2,78.81
2023-01-17,Mujer,Hombre,0,1,0,2,112.28
2023-01-17,Mujer,Niños,0,1,0,1,26.07
2023-01-17,Mujer,Unisex,0,1,0,3,154.75
2023-01-17,Hombre,Mujer,0,1,0,4,128.41
2023-01-17,Hombre,Hombre,0,1,0,1,23.76
2023-01-17,Hombre,Niños,0,1,0,2,113.66
2023-01-17,Hombre,Unisex,0,1,0,2,84.93
2023-01-17,Niños,Mujer,0,1,0,1,50.99
2023-01-17,Niños,Hombre,0,1,0,1,40.53
2023-01-17,Niños,Niños,0,1,0,3,119.28
2023-01-17,Niños,Unisex,0,1,0,4,60.47
2023-01-17,Accesorios,Mujer,0,1,0,1,44.1
2023-01-17,Accesorios,Hombre,0,1,0,1,55.77
2023-01-17,Accesorios,Niños,0,1,0,2,95.88
2023-01-17,Accesorios,Unisex,0,1,0,2,102.86
2023-01-17,Calzado,Mujer,0,1,0,3,76.76
2023-01-17,Calzado,Hombre,0,1,0,4,156.36
2023-01-17,Calzado,Niños,0,1,1,4,101.75
2023-01-17,Calzado,Unisex,0,1,0,1,37.35
2023-01-18,Mujer,Mujer,0,1,0,1,34.27
2023-01-18,Mujer,Hombre,0,1,0,4,238.43
2023-01-18,Mujer,Niños,0,1,0,1,18.57
2023-01-18,Mujer,Unisex,0,1,0,4,132.21
2023-01-18,Hombre,Mujer,0,1,0,1,52.43
2023-01-18,Hombre,Hombre,0,1,1,0,0.0
2023-01-18,Hombre,Niños,0,1,0,2,47.13
2023-01-18,Hombre,Unisex,0,1,0,1,31.33
2023-01-18,Niños,Mujer,0,1,0,2,116.19
2023-01-18,Niños,Hombre,0,1,0,2,48.08
2023-01-18,Niños,Niños,0,1,0,1,28.54
2023-01-18,Niños,Unisex,0,1,0,1,25.56
2023-01-18,Accesorios,Mujer,0,1,0,2,76.89
2023-01-18,Accesorios,Hombre,0,1,0,2,107.82
2023-01-18,Accesorios,Niños,0,1,0,0,0.0
2023-01-18,Accesorios,Unisex,0,1,0,1,39.92
2023-01-18,Calzado,Mujer,0,1,0,1,38.21
2023-01-18,Calzado,Hombre,0,1,0,4,238.59
2023-01-18,Calzado,Niños,0,1,0,2,103.57
2023-01-18,Calzado,Unisex,0,1,0,3,162.19
2023-01-19,Mujer,Mujer,0,1,0,2,66.27
2023-01-19,Mujer,Hombre,0,1,0,2,61.15
2023-01-19,Mujer,Niños,0,1,0,1,53.79
2023-01-19,Mujer,Unisex,0,1,0,2,84.56
2023-01-19,Hombre,Mujer,0,1,0,1,18.07
2023-01-19,Hombre,Hombre,0,1,0,4,233.36
2023-01-19,Hombre,Niños,0,1,0,1,54.42
2023-01-19,Hombre,Unisex,0,1,0,2,30.03
2023-01-19,Niños,Mujer,0,1,0,4,161.6
2023-01-19,Niños,Hombre,0,1,0,3,110.42
2023-01-19,Niños,Niños,0,1,0,1,37.92
2023-01-19,Niños,Unisex,0,1,0,2,85.37
2023-01-19,Accesorios,Mujer,0,1,0,3,151.93
2023-01-19,Accesorios,Hombre,0,1,0,3,156.72
2023-01-19,Accesorios,Niños,0,1,0,2,53.38
2023-01-19,Accesorios,Unisex,0,1,0,2,85.71
2023-01-19,Calzado,Mujer,0,1,1,3,106.34
2023-01-19,Calzado,Hombre,0,1,0,2,59.22
2023-01-19,Calzado,Niños,0,1,0,1,32.66
2023-01-19,Calzado,Unisex,0,1,0,2,39.19
2023-01-20,Mujer,Mujer,0,1,0,0,0.0
2023-01-20,Mujer,Hombre,0,1,0,3,130.95
2023-01-20,Mujer,Niños,0,1,0,1,48.18
2023-01-20,Mujer,Unisex,0,1,0,0,0.0
2023-01-20,Hombre,Mujer,0,1,0,2,119.24
2023-01-20,Hombre,Hombre,0,1,0,3,70.0
2023-01-20,Hombre,Niños,0,1,0,3,47.83
2023-01-20,Hombre,Unisex,0,1,0,1,28.3
2023-01-20,Niños,Mujer,0,1,0,1,26.49
2023-01-20,Niños,Hombre,0,1,0,0,0.0
2023-01-20,Niños,Niños,0,1,0,3,115.3
2023-01-20,Niños,Unisex,0,1,0,4,67.87
2023-01-20,Accesorios,Mujer,0,1,0,2,79.51
2023-01-20,Accesorios,Hombre,0,1,0,2,113.55
2023-01-20,Accesorios,Niños,0,1,0,4,180.86
2023-01-20,Accesorios,Unisex,0,1,0,1,26.63
2023-01-20,Calzado,Mujer,0,1,0,3,133.58
2023-01-20,Calzado,Hombre,0,1,0,2,118.62
2023-01-20,Calzado,Niños,0,1,0,1,47.67
2023-01-20,Calzado,Unisex,0,1,0,3,113.29
2023-01-21,Mujer,Mujer,1,1,0,2,75.75
2023-01-21,Mujer,Hombre,1,1,0,2,108.6
2023-01-21,Mujer,Niños,1,1,0,2,96.75
2023-01-21,Mujer,Unisex,1,1,0,2,66.13
2023-01-21,Hombre,Mujer,1,1,0,4,170.88
2023-01-21,Hombre,Hombre,1,1,0,2,78.48
2023-01-21,Hombre,Niños,1,1,1,5,245.7
2023-01-21,Hombre,Unisex,1,1,0,3,158.67
2023-01-21,Niños,Mujer,1,1,0,2,83.37
2023-01-21,Niños,Hombre,1,1,0,3,138.91
2023-01-21,Niños,Niños,1,1,1,2,38.37
2023-01-21,Niños,Unisex,1,1,0,1,47.55
2023-01-21,Accesorios,Mujer,1,1,0,4,147.59
2023-01-21,Accesorios,Hombre,1,1,0,5,80.16
2023-01-21,Accesorios,Niños,1,1,0,3,73.33
2023-01-21,Accesorios,Unisex,1,1,0,2,43.27
2023-01-21,Calzado,Mujer,1,1,1,6,296.98
2023-01-21,Calzado,Hombre,1,1,0,4,174.51
2023-01-21,Calzado,Niños,1,1,0,3,90.16
2023-01-21,Calzado,Unisex,1,1,0,2,104.85
2023-01-22,Mujer,Mujer,1,1,0,4,146.56
2023-01-22,Mujer,Hombre,1,1,0,1,46.77
2023-01-22,Mujer,Niños,1,1,1,3,150.33
2023-01-22,Mujer,Unisex,1,1,0,5,125.68
2023-01-22,Hombre,Mujer,1,1,0,3,54.31
2023-01-22,Hombre,Hombre,1,1,1,6,160.66
2023-01-22,Hombre,Niños,1,1,0,2,99.9
2023-01-22,Hombre,Unisex,1,1,0,5,89.1
2023-01-22,Niños,Mujer,1,1,0,4,75.56
2023-01-22,Niños,Hombre,1,1,1,4,233.41
2023-01-22,Niños,Niños,1,1,0,2,95.77
2023-01-22,Niños,Unisex,1,1,0,3,142.9
2023-01-22,Accesorios,Mujer,1,1,0,3,69.71
2023-01-22,Accesorios,Hombre,1,1,0,4,105.17
2023-01-22,Accesorios,Niños,1,1,0,0,0.0
2023-01-22,Accesorios,Unisex,1,1,1,5,198.49
2023-01-22,Calzado,Mujer,1,1,1,4,85.37
2023-01-22,Calzado,Hombre,1,1,0,2,38.78
2023-01-22,Calzado,Niños,1,1,0,3,114.19
2023-01-22,Calzado,Unisex,1,1,0,3,151.15
2023-01-23,Mujer,Mujer,0,1,0,3,146.8
2023-01-23,Mujer,Hombre,0,1,0,0,0.0
2023-01-23,Mujer,Niños,0,1,0,2,80.22
2023-01-23,Mujer,Unisex,0,1,1,1,30.46
2023-01-23,Hombre,Mujer,0,1,0,4,207.98
2023-01-23,Hombre,Hombre,0,1,0,4,95.21
2023-01-23,Hombre,Niños,0,1,0,1,43.56
2023-01-23,Hombre,Unisex,0,1,0,1,38.99
2023-01-23,Niños,Mujer,0,1,0,3,94.02
2023-01-23,Niños,Hombre,0,1,0,2,42.66
2023-01-23,Niños,Niños,0,1,1,2,58.18
2023-01-23,Niños,Unisex,0,1,0,2,107.12
2023-01-23,Accesorios,Mujer,0,1,0,2,73.68
2023-01-23,Accesorios,Hombre,0,1,0,2,44.94
2023-01-23,Accesorios,Niños,0,1,0,1,40.19
2023-01-23,Accesorios,Unisex,0,1,1,3,73.32
2023-01-23,Calzado,Mujer,0,1,0,1,39.34
2023-01-23,Calzado,Hombre,0,1,0,1,36.2
2023-01-23,Calzado,Niños,0,1,0,4,218.37
2023-01-23,Calzado,Unisex,0,1,0,1,20.08
2023-01-24,Mujer,Mujer,0,1,0,1,48.29
2023-01-24,Mujer,Hombre,0,1,0,1,34.6
2023-01-24,Mujer,Niños,0,1,0,3,130.61
2023-01-24,Mujer,Unisex,0,1,0,2,59.26
2023-01-24,Hombre,Mujer,0,1,1,2,105.33
2023-01-24,Hombre,Hombre,0,1,1,4,184.95
2023-01-24,Hombre,Niños,0,1,0,1,28.68
2023-01-24,Hombre,Unisex,0,1,0,0,0.0
2023-01-24,Niños,Mujer,0,1,1,3,135.55
2023-01-24,Niños,Hombre,0,1,0,2,70.23
2023-01-24,Niños,Niños,0,1,0,3,176.87
2023-01-24,Niños,Unisex,0,1,0,0,0.0
2023-01-24,Accesorios,Mujer,0,1,1,2,116.65
2023-01-24,Accesorios,Hombre,0,1,0,2,77.94
2023-01-24,Accesorios,Niños,0,1,0,1,18.08
2023-01-24,Accesorios,Unisex,0,1,0,0,0.0
2023-01-24,Calzado,Mujer,0,1,0,3,166.89
2023-01-24,Calzado,Hombre,0,1,0,1,41.69
2023-01-24,Calzado,Niños,0,1,0,3,152.27
2023-01-24,Calzado,Unisex,0,1,0,4,239.18
2023-01-25,Mujer,Mujer,0,1,0,1,38.64
2023-01-25,Mujer,Hombre,0,1,0,0,0.0
2023-01-25,Mujer,Niños,0,1,0,2,69.11
2023-01-25,Mujer,Unisex,0,1,0,2,44.83
